title,publication,date,link
New York Is Going to Flood. Here's What the City Can Do to Survive.,The New York Times,10/15/2025,https://www.nytimes.com/interactive/2025/10/15/nyregion/new-york-climate-flooding-solutions.html
This interactive map shows you what your NYC block looked like 400 years ago,Fast Company,6/2/2025,https://www.fastcompany.com/91342476/this-interactive-map-shows-you-what-your-nyc-block-looked-like-400-years-ago
The NYC subway is drowning. Here's how to save it.,The Washington Post,12/19/2025,https://www.washingtonpost.com/climate-environment/interactive/2025/new-york-subway-flooding-climate-change/
NYC subway geyser caused by ancient Manhattan stream,Gothamist,7/18/2025,https://gothamist.com/news/nyc-subway-geyser-caused-by-ancient-manhattan-stream
New Episode of NYC DOT's Curb Enthusiasm Podcast Explores NYCâ€™s Natural Landscape and Its Influence on Todayâ€™s Footprint With New York Botanical Gardenâ€™s Eric W. Sanderson,Curb Enthusiasm by the NYC DOT,7/24/2025,https://www.nyc.gov/html/dot/html/pr2025/nyc-dot-curb-enthusiasm-eric-w-sanderson.shtml
Considering regeneration and decolonization in <i>Intelligens</i>,The Architect's Newspaper,6/25/2025,https://www.archpaper.com/2025/06/considering-regeneration-decolonization-intelligens/
The Mannahatta Project,The New Yorker,9/24/2007,https://www.newyorker.com/magazine/2007/10/01/the-mannahatta-project
New York -- before the City,TED Talk,7/1/2009,https://www.ted.com/talks/eric_sanderson_new_york_before_the_city
A Tour Inside the NY Botanical Garden's Trippy Orchid Show,Hyperallergic,2/24/2026,https://hyperallergic.com/a-tour-inside-the-ny-botanical-gardens-trippy-orchid-show/
City Currents | Reimagining Everything to Flood,Design Trust for Public Space,2/17/2026,https://www.designtrust.org/news/city-currents-reimagining-everything-flood/
A Fifth of NYC Built on Bygone Water Now at Risk: Study Maps City’s ‘Blue Zones’,The City,4/1/2026,https://www.thecity.nyc/2026/04/01/flooding-blue-zones-climate-change-building/
26 Ideas for NYC'S Water Future,Design Trust for Public Space,3/20/2026,https://www.designtrust.org/news/26-ideas-nycs-water-future/
Over 500 NYC 'Blue Zones' at Risk of More Destructive Floods,Planetizen,4/3/2026,https://www.planetizen.com/news/2026/04/137273-over-500-nyc-blue-zones-risk-more-destructive-floods
Not Quite Waterworld,Old Structures,4/3/2026,https://oldstructures.com/2026/04/03/not-quite-waterworld/
ESPN Original Series Where It Lies to premiere April 6,ESPN,4/6/2026,https://espnpressroom.com/us/press-releases/2026/03/espn-original-series-where-it-lies-to-premiere-april-6/
Aaron Judge and the Pride of the Yankees,ESPN,6/12/2025,https://www.espn.com/mlb/story/_/id/45479651/new-york-yankees-aaron-judge-bronx-legends-red-sox
New York Botanical Garden study maps flood-prone “blue zones” across Bronx and beyond,The Riverdale Press,4/17/2026,"https://www.riverdalepress.com/stories/new-york-botanical-garden-study-maps-flood-prone-blue-zones-across-bronx-and-beyond,226843?"
